SMILES,ID
C/C=C1/C(=O)O[C@]23C=C[C@@H]4C(C(=O)OC)=CO[C@H](OC12)[C@@H]43,445574Z01
COc1cc2ccc(=O)oc2cc1OC,445576Z01
C/C=C1\C(=O)O[C@]23C=C[C@@H]4C(C(=O)OC)=CO[C@H](OC12)[C@@H]43,445577Z01
CC(=O)OCC1=C2C(OC(=O)/C=C(/C)COC(C)=O)CC(C)C(=O)CC(=O)C3(C)OC3C2OC1=O,445579Z01
CC(C)=CCCC(C)C12C=CC(C)(CC1)OO2,445581Z01
CCCCCCCCCCCCO[C@@H]1O[C@@H](C)[C@H](O[C@@H]2O[C@@H](C)[C@H](OC(C)=O)[C@@H](O[C@@H]3O[C@@H](C)[C@H](OC(C)=O)[C@@H](O[C@@H]4O[C@@H](C)[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@H]4O)[C@H]3OC(C)=O)[C@H]2O)[C@@H](O)[C@H]1O,445586Z01
CCCCCCCCCCCCO[C@@H]1O[C@@H](C)[C@H](OC(C)=O)[C@@H](O[C@@H]2O[C@@H](C)[C@H](OC(C)=O)[C@@H](O[C@@H]3O[C@@H](C)[C@H](OC(C)=O)[C@@H](O)[C@H]3O)[C@H]2OC(C)=O)[C@H]1O,445590Z01
CCCCCCCCCCCCO[C@@H]1O[C@@H](C)[C@H](O[C@@H]2O[C@@H](C)[C@H](OC(C)=O)[C@@H](O[C@@H]3O[C@@H](C)[C@H](OC(C)=O)[C@@H](O[C@@H]4O[C@@H](C)[C@H](OC(C)=O)[C@@H](O)[C@H]4O)[C@H]3OC(C)=O)[C@H]2O)[C@@H](O)[C@H]1O,445594Z01
COc1c(CC=C(C)C)c(O)c(CC=C(C)C)c(O)c1C(=O)c1ccc(O)cc1,445597Z01
COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1-c1c(O)cc(O)c2c(=O)cc(-c3ccc(O)cc3)oc12,445600Z01
C=C1C(=O)O[C@@H]2C[C@@]3(C)CCCC(=C)[C@@H]3C[C@H]12,445603Z01
COc1ccc(C(=O)[C@@H](c2coc3cc(O)ccc3c2=O)C(c2ccc(O)cc2)c2ccc(O)cc2)c(OC)c1,445607Z01
COc1ccc(C(=O)[C@@H](c2coc3cc(O)ccc3c2=O)C(c2ccc(O)cc2)c2ccc(O)cc2)c(O)c1,445610Z01
O=C1c2ccc(O)cc2OC(c2ccc(O)cc2)C1C1C(=O)c2ccc(O)cc2OC1c1ccc(O)cc1,445613Z01
O=C1CC(c2ccc(O)cc2)Oc2cc3c(c(O)c21)C(C(=O)c1ccc(O)cc1O)C(c1ccc(O)cc1)O3,445616Z01
O=C(c1ccc(O)cc1O)[C@@H]1[C@@H](c2ccc(O)cc2)O[C@@H](c2ccc(O)cc2)[C@H]1C(=O)c1ccc(O)cc1O,445619Z01
CCCCCCCCCCC[C@@H]1CCC[C@@H](C)N1,445621Z01
CCCCCCCCCCC/C=C\CC[C@@H]1CCC[C@@H](C)N1,445624Z01
CCCCCCCCCCCCC[C@@H]1CCC[C@@H](C)N1,445627Z01
CCCCCCCCC/C=C\CCCC[C@@H]1CCC[C@@H](C)N1,445629Z01
CCCCCCCCCCCCCCC[C@@H]1CCC[C@@H](C)N1,445631Z01
COC(=O)CC(C1=C2OC(O)=C(C(=O)CC(C)C)C(=O)C2(CC=C(C)C)CC(CC=C(C)C)C1(C)C)c1ccccc1,445633Z01
CCCC(CC(=O)O)C1=C2OC(O)=C(C(=O)C(C)CC)C(=O)C2(CC=C(C)C)CC(CC=C(C)C)C1(C)C,445635Z01
CCCC(CC(=O)O)C1=C2OC(O)=C(C(=O)CC(C)C)C(=O)C2(CC=C(C)C)CC(CC=C(C)C)C1(C)C,445637Z01
CCC(C)C(=O)C1=C(O)OC2=C(C(CC(=O)O)c3ccccc3)C(C)(C)C(CCC(C)(C)OC(=O)C(F)(F)F)CC2(CC=C(C)C)C1=O,445640Z01
CCC(C)C(=O)C1=C(O)OC2=C(C(CC(=O)O)c3ccccc3)C(C)(C)C(CCC(C)(C)O)CC2(CC=C(C)C)C1=O,445643Z01
CCC(C)C(=O)C1=C(O)OC2=C(C(CC(=O)O)c3ccccc3)C(C)(C)C(CCC(C)(C)NC(C)=O)CC2(CC=C(C)C)C1=O,445654Z01
CCC(C)C(=O)C1=C(O)OC2=C(C(CC(=O)O)c3ccccc3)C(C)(C)C(CC=C(C)C)CC2(CC=C(C)C)C1=O,445657Z01
CC(C)=CCC1CC2(CC=C(C)C)C(=O)C(C(=O)CC(C)C)=C(O)OC2=C(C(CC(=O)O)c2ccccc2)C1(C)C,445660Z01
CC(C)=CCC1CC2(CC=C(C)C)C(=O)C(C(=O)C(C)C)=C(O)OC2=C(C(CC(=O)O)c2ccccc2)C1(C)C,445663Z01
C/C(=C/CC[C@H](C)[C@@H]1CC[C@]2(C)C3=CCC4C(C)(C)C(=O)CC[C@]4(C)C3CC[C@@]12C)C(=O)O,445666Z01
COc1ccc(-c2oc3cc(O)c(OC)c(O)c3c(=O)c2OC)cc1O,445669Z01
COc1ccc(-c2oc3cc(O)c(OC)c(O)c3c(=O)c2OC)cc1,445672Z01
Oc1cc(O)cc(/C=C/c2ccc(O)cc2O)c1,445675Z01
COc1cc(-c2oc3cc(OC)c(OC)c(O)c3c(=O)c2OC)ccc1O,445678Z01
COc1ccc(-c2oc3cc(OC)c(OC)c(O)c3c(=O)c2OC)cc1O,445681Z01
O=C1c2c(O)cc(O)c(C3C(=O)c4c(O)cc(O)cc4OC3c3ccc(O)cc3)c2OC(c2ccc(O)c(O)c2)C1O,445684Z01
O=C1c2c(O)cc(O)c(C3C(=O)c4c(O)cc(O)cc4OC3c3ccc(O)cc3)c2OC(c2ccc(O)cc2)C1O,445688Z01
COc1ccc(C2Oc3c(c(O)cc(O)c3C3C(=O)c4c(O)cc(O)cc4OC3c3ccc(O)cc3)C(=O)C2O)cc1O,445691Z01
O=C1CC(c2ccc(O)cc2)Oc2c1c(O)cc(O)c2C1C(=O)c2c(O)cc(O)cc2OC1c1ccc(O)cc1,445694Z01
COc1cc(O)ccc1CCC(c1ccc(O)cc1)c1cc(CCC(=O)c2ccc(O)cc2)c(O)cc1O,445697Z01
C=C1[C@@H](O)C[C@@H]2[C@](C)(CCC[C@@]2(C)CO)[C@H]1CC1C(C)=CCC2C(=O)C(OC)=CC(=O)C21c1cc(=O)c2c(O)cc(O)cc2o1,445701Z01
C=C1[C@@H](O)C[C@H]2[C@](C)(C(=O)O)CCC[C@]2(C)[C@H]1CC1C(C)=CCC2C(=O)C(OC)=CC(=O)C21c1cc(=O)c2c(O)cc(O)cc2o1,445705Z01
C=C1[C@@H](O)C[C@H]2C(C)(C)C[C@H](O)C[C@]2(C)[C@H]1CC1C(C)=CCC2C(=O)C(OC)=CC(=O)C21c1cc(=O)c2c(O)cc(O)cc2o1,445708Z01
C=C1[C@@H](O)C[C@H]2C(C)(C)CCC[C@]2(C)[C@H]1CC1C(C)=CCC2C(=O)C(OC)=CC(=O)C21c1cc(=O)c2c(O)cc(O)cc2o1,445712Z01
COC1=CC(=O)C2(c3cc(=O)c4c(O)cc(O)cc4o3)C(CC=C(C)C2C[C@@]2(O)C(C)(O)CC[C@H]3C(C)(C)C[C@H](O)C[C@@]32C)C1=O,445715Z01
COC1=CC(=O)C2(c3cc(=O)c4c(O)cc(O)cc4o3)C(CC=C(C)C2C[C@H]2[C@@H](C)[C@@H](O)C[C@H]3C(C)(C)C[C@H](O)C[C@]23C)C1=O,445717Z01
COc1c(O)cc(-c2oc3cc(O)cc(O)c3c(=O)c2O[C@@H]2O[C@@H](C)[C@H](O)[C@@H](O)[C@H]2O)cc1O,445720Z01
C[C@@H]1CC2(N=CCS2)[C@]2(O)OC3C[C@@]4(C=O)C(CCC5C4CC[C@]4(C)C(C6=CC(=O)OC6)CC(O)[C@]54O)CC3OC2O1,445725Z01
C[C@@H]1CC2(NCCS2)[C@]2(O)OC3C[C@@]4(C=O)C(CCC5C4CC[C@]4(C)C(C6=CC(=O)OC6)CC[C@]54O)CC3OC2O1,445729Z01
C[C@@H]1O[C@H](O[C@@H]2[C@@H](O)[C@H](OCCc3ccc(O)c(O)c3)O[C@H](CO)[C@H]2OC(=O)/C=C/c2ccc(O)c(O)c2)[C@H](O)[C@H](O)[C@H]1O,445733Z01
C[C@@H]1CC2(NCCS2)C(=O)C(O[C@@H]2CC3CCC4C(CC[C@]5(C)[C@@H](C6=CC(=O)OC6)CC[C@]45O)[C@@]3(C=O)C[C@H]2O)O1,445736Z01
C[C@@H]1CC2(N=CCS2)[C@]2(O)OC3C[C@@]4(C=O)C(CCC5C4CC[C@]4(C)C(C6=CC(=O)OC6)CC[C@]54O)CC3OC2O1,445741Z01
C[C@@H]1O[C@@H](Oc2c(-c3ccc(O)c(O)c3)oc3cc(O)cc(O)c3c2=O)[C@H](O)[C@H](O)[C@H]1O,445744Z01
C[C@@H]1CC2(NCCS2)[C@]2(O)OC3C[C@@]4(C=O)C(CCC5C4CC[C@]4(C)C(C6=CC(=O)OC6)CC(O)[C@]54O)CC3OC2O1,445749Z01
COc1cc(C=O)c([N+](=O)[O-])cc1OC,445752Z01
Cn1c(N)nc2c(ncn2C)c1=O,445755Z01
COC(=O)[C@@H]1OC=C2[C@@H](OC(C)=O)CC3[C@](C)([C@H](O)CC4[C@@]5(C)CCCC(C)(C)C5CC[C@]43C)[C@H]21,445758Z01
COC(=O)[C@@H]1OC=C2[C@@H](OC(C)=O)CC3[C@](C)([C@@H](O)CC4[C@@]5(C)CCCC(C)(C)C5CC[C@]43C)[C@H]21,445762Z01
C[N+]1=C2C=C(N)C(=O)c3[nH]cc(c32)CC1,445765Z01
Cn1cc2c3c1C(=O)C(N/C=C/c1ccc(O)cc1)=CC3=[N+](C)CC2,445768Z01
C[N+]1=C2C=C(N/C=C/c3ccc(O)cc3)C(=O)c3[nH]cc(c32)CC1,445771Z01
CC(CC[C@@H](C)[C@H]1CCC2C3C[C@H](OS(=O)(=O)O)[C@H]4C[C@H](OS(=O)(=O)O)C(OS(=O)(=O)O)C[C@]4(C)C3CC[C@@]21C)C(C)(C)C,445775Z01
CC(CC[C@@H](C)[C@H]1CCC2C3C[C@H](O)[C@H]4C[C@H](O)C(O)C[C@]4(C)C3CC[C@@]21C)C(C)(C)C,445777Z01
C[C@@]12CCCc3coc(c31)C(=O)c1cc3c(cc12)C(=O)C=CC3=O,445780Z01
NCC(Cl)C(O)c1c[nH]c(N)n1,445782Z01
COc1ccc(OC)c([N+](=O)[O-])c1/C=C/[N+](=O)[O-],445785Z01
CC1CCCC(C)N1N,445787Z01
O=C(/C=C/c1ccccc1)c1ccccc1O,445790Z01
CN/N=N/c1ccc(C)cc1,445792Z01
O=C(O)c1cccc2c1Nc1ccccc1S2,445795Z01
O=C(OO)c1ccc([N+](=O)[O-])cc1,445798Z01
O=C(O)c1c(O)cc(O)cc1O,445801Z01
C=C/C(C)=C/C[C@H]1C(=C)CCC2[C@@](C)(C(=O)O)CCC[C@@]21C,445804Z01
C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@@]21C,445807Z01
O=C[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)C(=O)O,445810Z01
O=C[C@H](O)[C@@H](O)[C@H](O)[C@H](O)C(=O)O,445819Z01
CCCCCCCC/C=C\CCCCCCCC(=O)O,445822Z01
O=C(O)c1ccccc1C(=O)O,445823Z01
CCCCCC[C@@H](O)C/C=C\CCCCCCCC(=O)O,445826Z01
O=C(O)[C@H](O)[C@@H](O)C(=O)O,445829Z01
C[C@@H]1[C@H]2C3=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)C5CC[C@@]4(C)[C@]3(C)CC[C@@]2(C(=O)O)CC[C@H]1C,445832Z01
O=c1cc(-c2ccc(O)cc2)oc2cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cc(O)c12,445835Z01
C[C@@H]1CC[C@H]2[C@@H](C)C(OC(=O)CCC(=O)O)O[C@@H]3O[C@]4(C)CCC1[C@@]23OO4,445838Z01
CC(C)(C)[C@]1(O)CC2OC(=O)C[C@@]23C(=O)O[C@@H]2OC(=O)[C@@H](O)[C@@]231,445841Z01
C=C(C)C1CC=C(C)C(=O)C1,445844Z01
O=C/C=C/c1ccccc1,445846Z01
C=C1C(=O)O[C@@H]2/C=C(\C)CC/C=C(\C)CC[C@@H]12,445849Z01
C[C@]12CC[C@H]3[C@@H](CC=C4C[C@H](O)CC[C@@]43C)[C@@H]1CCC2=O,445852Z01
C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@]5(C)[C@H]6CC[C@]7(C)[C@@H](C8=CC(=O)OC8)CC[C@]7(O)[C@@H]6CC[C@@H]5C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O,445855Z01
C[C@H]1[C@H]2[C@@H](O[C@]13CC[C@@H](C)CO3)[C@@H](O)[C@H]1[C@@H]3CC[C@H]4C[C@@H](O[C@@H]5O[C@H](CO)[C@H](O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O[C@@H]7OC[C@@H](O)[C@H](O)[C@H]7O)[C@H]6O[C@@H]6O[C@H](CO)[C@H](O)[C@H](O[C@@H]7O[C@H](CO)[C@@H](O)[C@H](O)[C@H]7O)[C@H]6O)[C@H](O)[C@H]5O)[C@H](O)C[C@]4(C)[C@H]3CC[C@@]12C,445858Z01
C[C@]12CC[C@@H]3c4ccc(OC(=O)c5ccccc5)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,445861Z01
OC[C@H]1OC(O)(CO)[C@@H](O)[C@@H]1O,445864Z01
C[C@@H]1O[C@@H](O)[C@@H](O)[C@H](O)[C@@H]1O,445867Z01
OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@H]1O,445870Z01
