id,smiles
http://www.wikidata.org/entity/Q105285742,CC1=C[C@@H](O)[C@@H]([C@]2(C)CC[C@@H](C(C)(C)O)O2)CC1
http://www.wikidata.org/entity/Q105360378,C=C(C)[C@@H]1/C=C(/C)CC/C=C(/C)CCC1
http://www.wikidata.org/entity/Q169569,Cc1ncc([N+](=O)[O-])n1CCO
http://www.wikidata.org/entity/Q105190087,COc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2OC2OC(CO)C(O)C(O)C2O)cc(O)c1O
http://www.wikidata.org/entity/Q77502508,C=C1[C@H](C)[C@@H]2[C@@H](Cc3ccccc3)NC(=O)[C@@]23C(=O)CC[C@@H](C)C[C@H](C)C/C=C/[C@@H]3[C@H]1O
http://www.wikidata.org/entity/Q105145691,Cc1ccc([C@@H](C)CC[C@@H](O)C(C)(C)O)c(O)c1
http://www.wikidata.org/entity/Q105116318,C=C1C[C@@H]2OC(=O)C(COC(C)=O)=C2C[C@H]2C(C)=CC[C@@H]12
http://www.wikidata.org/entity/Q105326819,CC1=C(C)C(=O)C(CC[C@](C)(O)CCC[C@H](C)CCC[C@H](C)CCCC(C)C)=CC1=O
http://www.wikidata.org/entity/Q104966486,C[C@@H](O)/C=C/C=C/[C@H](O)CC/C=C/C(=O)NCC(C)(C)O
http://www.wikidata.org/entity/Q24574865,CN1CCCC1
http://www.wikidata.org/entity/Q104399420,CC1(C)CCC[C@]2(C)[C@H](C=O)C(C=O)=CC[C@@H]12
http://www.wikidata.org/entity/Q104923254,CC[C@@H]1CCC(=O)O[C@H]2[C@H](OC(C)=O)[C@H](OC(C)=O)[C@@]3(OC(C)=O)[C@H](OC(C)=O)C(=O)[C@@H]4[C@@H](OC(C)=O)[C@]3(O[C@@]4(C)COC(=O)c3ccccc31)[C@@]2(C)O
http://www.wikidata.org/entity/Q105146836,O[C@@H]1C=C[C@@]23c4cc5c(cc4CN(C[C@H]2O)[C@@H]3C1)OCO5
http://www.wikidata.org/entity/Q105005766,C=C1C(=O)C=C(Br)C(C)(C)[C@]12CC[C@](C)(Cl)[C@@H](Br)C2
http://www.wikidata.org/entity/Q72481433,CCCCCCCC1=Nc2ccccc2C(=O)C1O
http://www.wikidata.org/entity/Q105241183,CO[C@H](C=C(C)C)C/C(C)=C/Cc1c(O)ccc(C(=O)/C=C/c2ccc(O)cc2)c1O
